"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"United States Senator - D*","Richard J. Durbin","D",14798,100.00,576737,110696,756,756,"0","0"
2,"United States Senator - R*","Sherry Procarione","R",0,0.00,576737,110696,756,756,"0","0"
3,"United States Senator - R*","Douglas Lee Truax","R",48942,55.47,576737,110696,756,756,"0","0"
4,"United States Senator - R*","James D. ""Jim"" Oberweis","R",39288,44.53,576737,110696,756,756,"0","0"
5,"Governor and Lt Governor, State of Illinois - D*","Pat Quinn","D",11993,79.31,576737,110696,756,756,"0","0"
6,"Governor and Lt Governor, State of Illinois - D*","Tio Hardiman","D",3129,20.69,576737,110696,756,756,"0","0"
7,"Governor and Lt Governor, State of Illinois - R*","Bruce Rauner","R",42294,45.78,576737,110696,756,756,"0","0"
8,"Governor and Lt Governor, State of Illinois - R*","Kirk W. Dillard","R",36483,39.49,576737,110696,756,756,"0","0"
9,"Governor and Lt Governor, State of Illinois - R*","Dan Rutherford","R",3821,4.14,576737,110696,756,756,"0","0"
10,"Governor and Lt Governor, State of Illinois - R*","Bill Brady","R",9788,10.59,576737,110696,756,756,"0","0"
11,"Attorney General, State of Illinois - D*","Lisa Madigan","D",14439,100.00,576737,110696,756,756,"0","0"
12,"Attorney General, State of Illinois - R*","Paul M. Schimpf","R",72634,100.00,576737,110696,756,756,"0","0"
13,"Secretary of State,  State of Illinois - D*","Jesse White","D",14836,100.00,576737,110696,756,756,"0","0"
14,"Secretary of State,  State of Illinois - R*","Michael Webster","R",72927,100.00,576737,110696,756,756,"0","0"
15,"Comptroller, State of Illinois - D*","Sheila Simon","D",14140,100.00,576737,110696,756,756,"0","0"
16,"Comptroller, State of Illinois - R*","Judy Baar Topinka","R",76921,100.00,576737,110696,756,756,"0","0"
17,"Treasurer, State of Illinois - D*","Michael W. Frerichs","D",13735,100.00,576737,110696,756,756,"0","0"
18,"Treasurer, State of Illinois - R*","Bob Grogan","R",39784,49.70,576737,110696,756,756,"0","0"
19,"Treasurer, State of Illinois - R*","Tom Cross","R",40269,50.30,576737,110696,756,756,"0","0"
20,"Representative in Congress, 3rd Congressional District - D*","Daniel William Lipinski","D",25,100.00,910,110696,2,2,"0","0"
21,"Representative in Congress, 3rd Congressional District - R*","Diane M. Harris","R",48,59.26,910,110696,2,2,"0","0"
22,"Representative in Congress, 3rd Congressional District - R*","Sharon M. Brannigan","R",33,40.74,910,110696,2,2,"0","0"
